src,rel,dst,src_label,dst_label,row_id
94,contact,318,which,eye protection,345
3,occur,4,activity,remote,346
6,save,7,life,rules,347
132,,319,hose,protection,348
320,reach,167,grinder,position,349
6,save,7,life,rules,350
3,occur,4,activity,remote,351
321,attach,322,party rigger,devices crane operator,352
253,exit,323,crane operator,cab,353
324,,324,rigger,rigger,354
325,tell,324,tfmc fst,rigger,355
284,preform,276,we,lift,356
324,tell,325,rigger,tfmc fst,357
253,say,326,crane operator,to do it,358
327,leave,328,studs,flange,359
122,reposition,329,fst,man basket,360
330,begin,331,load,to swing,361
330,strike,329,load,man basket,362
332,,333,party rigger tfmc fst,arms,363
330,shift,329,load,man basket,364
330,strike,329,load,man basket,365
6,save,7,life,rules,366
3,occur,27,activity,less,367
6,save,7,life,rules,368
143,erect,94,vessel,which,369
334,lift,335,osb fork,banksman,370
336,lower,276,forks,lift,371
336,fork,276,forks,lift,372
337,complete,338,person team,container check,373
339,proceed,340,two,abrasion,374
52,walk,340,one,abrasion,375
339,incur,340,two,abrasion,376
6,save,7,life,rules,377
246,recognize,341,i,car evacuator,378
246,,196,i,turn,379
246,hit,342,i,trailer end,380
6,save,7,life,rules,381
25,strike,172,ip,head,382
6,save,7,life,rules,383
232,lift,343,deck crew,side struts,384
94,involve,344,which,stick,385
335,request,253,banksman,crane operator,386
335,follow,330,banksman,load,387
253,slew,345,crane operator,left,388
346,glance,347,crane boom,camera,389
6,save,7,life,rules,390
348,aproximadamente,349,peso,g,391
350,take,351,altura collision,place,392
350,damage,352,altura collision,guardrail,393
6,save,7,life,rules,394
353,pinch,354,ring finger,renewal docking,395
355,delegate,243,yard,task,396
356,remove,357,all,problem,397
358,present,357,last,problem,398
58,start,359,nut,to round,399
360,strip,357,thread,problem,400
52,hold,361,one,drill spanner,401
52,operate,362,one,drill,402
25,hold,363,ip,spanner,403
364,try,365,work party,to remove the bolt,404
93,meet,366,he,project engineer,405
116,take,367,they,individual,406
64,assess,368,medic,wound,407
369,give,368,compress,wound,408
225,inform,370,safety officer,vessel him,409
225,attend,143,safety officer,vessel,410
371,,79,arrangements,him,411
25,attend,372,ip,clinic,412
217,consult,373,vessel medic,to record the event,413
217,inform,374,vessel medic,them,414
355,inform,143,yard,vessel,415
6,save,7,life,rules,416
375,catch,376,buyer,box,417
6,save,7,life,rules,418
46,spray,377,employee,cd duty degreaser,419
378,cause,379,overspray,skin irritation,420
3,occur,4,activity,remote,421
136,close,380,maintenance,valves drain,422
381,replace,382,maintenance team,pressure gauge,423
381,clean,98,maintenance team,area,424
6,save,7,life,rules,425
46,remove,383,employee,coating,426
93,injure,384,he,hand,427
93,,384,he,hand,428
93,touch,385,he,mold,429
46,notice,368,employee,wound,430
46,inform,386,employee,supervision,431
112,interrupt,386,work,supervision,432
6,save,7,life,rules,433
387,enfermeiro,388,após avaliao,de bordo,434
389,estranho,390,enfermeiro,do colaborador,435
65,,391,eye,coloration,436
392,estranho,393,mti corpo,esquerdo,437
6,save,7,life,rules,438
394,grind,395,hall f one,some,439
396,,397,wrench,to hold the bolt,440
52,hold,398,one,piece,441
52,drive,399,one,nut driver,442
400,grab,401,thumb,bolt,443
94,wear,402,which,gloves,444
403,belegget,404,av litt av,boltene,445
405,som,406,samtidig,den andre,446
407,belegget,408,fjerne litt av,boltens gjenger,447
409,mest,410,kjrt,sannsynlig litt,448
411,bolten,412,klemt litt,som holder pussepapir,449
246,rotasjonen,413,i,muttertekker ble kjrt,450
3,occur,128,activity,frequent,451
6,save,7,life,rules,452
93,place,384,he,hand,453
93,,414,he,feet,454
